Exist	Tweet 	existence.confidence
1	RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  http://bit.ly/d5DMi6	1
1	Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. http://bit.ly/aJOZGb (via @mims)	1
0	Cochabamba Summit Offers New Approach to Combating Climate Change http://bit.ly/btb7jh	0.3717
1	Climate Change is Making You Sneeze: http://bit.ly/c3YVMW The Eco-Sexy Solution? Nettle Root tincture, baby!	0.7014
1	ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... http://bit.ly/duQAk9	1
1	Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. http://oohja.com/xaZEP	1
1	The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZAj	0.6862
1	The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZzN	1
1	Climate Change culprit for "Off-the-Charts" Pollen Counts... http://bit.ly/biteQA	1
1	Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg	0.6702
1	Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... http://huff.to/9ipDju	1
1	Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg	1
1	Author Nikolas Kozloff on "No Rain in the Amazon: How South America's Climate Change Affects the Entire Planet" http://bit.ly/cKs5dW	0.7188
0	How do we solve this global warming thing? http://goo.gl/fb/ON8rH #cleantech	0.695
1	Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heiW	0.69
1	Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heip	1
1	Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://goo.gl/fb/hKvfY #cleantech	0.657
1	How do we solve this global warming thing? http://url4.eu/2hdT2	1
1	How do we solve this global warming thing? http://url4.eu/2hdSo	1
1	Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/h4e3z	1
1	Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.	0.6702
1	Is nationalizing the energy industry necessary to fight global warming?  http://bit.ly/9AEI0k	1
1	Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. http://oohja.com/xaW3l	0.9128
1	Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVgV	0.6539
1	Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVcb	1
1	reading from @time Allergies Worse Than Ever? Blame Global Warming http://bit.ly/9QVt5w	1
1	The $6BN REDD+ forest conservation partnership to curb climate change leaves on env'l groups & indigenous populations. http://bit.ly/9bbuoO	0.6508
1	2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.	1
1	Missing' heat may affect future climate change http://bit.ly/diXzNL #environment #eco	0.6535
1	Climate Change - Building a Green Economy http://bit.ly/bzJACi	0.6715
1	Climate change threatening Glacier National Park and Montana's economy - Examiner.com http://bit.ly/bN869t	1
1	New York: Climate change could raise cost of allergies http://newyork.cityandpress.com/2010/04/15/climate-change-could-raise-cost-allergies	1
1	Ecotone: #Climate change from a #population perspective http://ow.ly/1yNlN #cities #environment (via @argus27)	0.5318
1	Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. http://retwt.me/1MPSj (via @PlanetSantaBarb)	0.6554
1	Think your allergies are bad now? Wait until climate change kicks in, Michig.. http://retwt.me/1MPQX (via @greenmichigan)	1
1	Exclusive: Climate change could raise cost of U.S. allergies| Reuters http://retwt.me/1MPF2 (via @healthfreaks)	1
0	Spring storm season starting a little late this year???  Must be global warming!	0.6502
1	Kenya: Extreme Weather Tests Pastoralist Perceptions: The effects of climate change - such as drought... http://tinyurl.com/yyupfmh #Africa	0.6598
1	Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger http://retwt.me/1MPhx (via @paulo_one)	1
1	All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers http://bit.ly/cywGTN	1
1	Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MODN (via @tweeterism)	1
1	Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming.	1
0	United States Must Lead on Climate Change •À_ Kerry; Climate and Energy Bill Has Multiple Benefits #green http://bit.ly/d0lRwo	0.6781
1	Green:Net: How the Internet, Computing Can Fight Climate Change http://bit.ly/9exozj	1
0	3,000 Businesses Create New Ad for Climate Change Action : CleanTechnica http://retwt.me/1MOwy (via @greenREACH)	0.5314
1	Green:Net: How the Internet, Computing Can Fight Climate Change: The Internet, software, computing... http://bit.ly/9exozj (Via @inhabitat)	1
1	Leaked U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://retwt.me/1MOhG (via @planetprison3r)	0.6603
1	Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://ff.im/-iVsBt	1
1	Reinvent Cities to Stop Climate Change http://retwt.me/1MO9d (via @reenymal)	1
1	Climate Change Continues To Melt Glacier National Park's Icons | National P.. http://retwt.me/1MNUL (via @nat_parks_news)	1
1	Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNMY (via @meganurupo)	0.7096
1	Climate Change - 100 Endangered Places and How to Save Them - Newsweek http://retwt.me/1MNC2 (via @stevegeritano)	1
1	Abu Dhabi faces climate change flood threat - expert - Culture & Society - Arabia.. http://retwt.me/1MNjF (via @zaqzaqat)	1
1	China active, serious in tackling climate change, says vice president | Humani.. http://retwt.me/1MN3W (via @NewsOnGreen)	1
1	You and Us and Me - China active, serious in tackling climate change, says vic.. http://retwt.me/1MN3p (via @NewsOnGreen)	1
1	Study: SE Asia will be hit hard by climate change http://retwt.me/1MN2w (via @cuddlendance)	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 27	1
1	Obama: China Must Act Soon on Climate Change http://bit.ly/b6vhX2	1
1	If capitalism doesn•À_t end climate change, climate change will end capitalism - #degrowth http://bit.ly/afdSTy	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 28	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 29	0.6945
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 30	1
1	Demand Congress take action on climate change. Pls sign the petition. http://bit.ly/9tnK2S	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 31	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 32	1
1	Carbon Age is killing us. Climate change legislation now: http://action.sierraclub.org/site/MessageViewer?em_id=173961.0	1
1	Obama says in TV interview that 'we can't allow China to wait' on tackling climate change http://bit.ly/b9XdIz	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 33	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 34	1
1	Government Claims Global Warming May Cause Cancer http://bit.ly/cbPJhu	1
0	Government Claims Global Warming May Cause Cancer http://bit.ly/dhLLuq	0.6569
1	Protect Wildlife Habitat from Climate Change: http://www.thepetitionsite.com/takeaction/820159630	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 35	0.6757
1	Plan B: California Braces for Climate Change http://bit.ly/99dwDO	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 36	1
1	Nine scenarios for imminent apocalypse•À_only one is global warming http://j.mp/aYqZO2 (via @rawdawgbuffalo)	0.5492
1	If capitalism doesn•À_t end climate change, climate change will end capitalism - #degrowth http://bit.ly/afdSTy	1
1	DC: *FT Work for Greenpeace to STOP GLOBAL WARMING - $12-$13/hr*: Get Involved! Call now 202-595-3368 Greenpeac... http://bit.ly/cqCzSj	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 7	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 8	1
1	http://bit.ly/dCjUlz -Ancient Weapons Emerge From Melting Arctic Ice-Wow,positive side of Global Warming.Other one is reclaim of dry land	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra 9	1
1	Take Action @change: Help Protect Wildlife Habitat from Climate Change http://bit.ly/9Ogdyi #climatechange #SierraClub #SaveTerra	1
1	Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  http://bit.ly/cDeYFt	0.8373
1	SEC warns publically held companies to advise investors of risks of #climate change. http://ow.ly/1DUIy #CSR	1
1	Save the Whales and They'll Save Us from Global Warming http://bit.ly/cN013J #tcot	1
1	Al Gore @ #IRA "If a snake were coming up the aisle, there wouldn't be a long debate about what to do." And we dawdle about climate change.	0.6368
1	We should be leaders on climate change but it is always put on the back burner... http://dld.bz/b3mA	1
1	RT @WWF_Climate    RT @CarbonDiplomacy Grapes of Wrath: How much trouble does #climate change mean for agriculture? http://bit.ly/abDh6c	1
1	Got Allergies? -- By: Jonah Goldberg: Blame global warming. From Time magazine: Allergies Worse Than Ever? Blame ... http://bit.ly/cPxcfZ	0.6757
1	Climate change and Why Your Allergies Are Getting Worse http://bit.ly/dzYKHK /via @MotherJones	1
1	Watch PBS 'Dimming the Sun' for more on this #NPR: Could Cleaner Air Actually Intensify Global Warming?-More at http://n.pr/126226938	0.6671
1	RT @CHIoxfamaction: People in poor countries are 20 times more likely to be affected by disasters caused by climate change than those in the developed world	1
1	Got Allergies? -- By: Jonah Goldberg: Blame global warming. From Time magazine: Allergies Worse Than Ever? Blame ... http://bit.ly/94D2xv	1
0	Italy: PhD Programme in Science and Management of Climate Change ...: PhD Programme in Science and Management of C... http://bit.ly/9I6mr6	0.6326
1	Oxfam: Climate change devastating rural Ethiopian communities. http://tinyurl.com/3a67ary #Oxfam #climatechange	1
1	Alexi @Giannoulias believes in putting a price on global warming pollutants to spur development of alternative technology #p2 #ilsen	1
1	Go for the green! Olympic athletes push for climate change action -- http://mnn.com/node/55056 #climatechange #climateaction #green	0.6479
1	DC: *FT Work for Greenpeace to STOP GLOBAL WARMING - $12-$13/hr*:Get Involved! Call now 202-595-3368 Greenpeace... http://bit.ly/9m44EJ	1
1	Health effects are a big deal. RT @EPSclimate: Impacts of Climate Change Extend to Human Health http://bit.ly/99jnIZ #moms #families #eco	1
1	Climate change causing change in ocean chemistry at unprecedented rate. http://www.planetark.com/enviro-news/item/57703 #climatechange	0.6746
1	Global warming can be good for http://bit.ly/dd2Rm3, another cool video	0.6972
1	Allergies Worse Than Ever? Blame Global Warming (Time.com) http://nxy.in/dxleu	1
1	RT @arkarthick: Bats, Birds & Lizards Can Fight #Climate Change (Wired) http://bit.ly/c4PCkp (via @unreal_g) #Science RT @Flipbooks	0.6674
1	For #EarthDay Global warming could affect patient symptoms http://bit.ly/7FppTC classic post	0.8374
1	Just signed an #earthday petition to take action on climate change via @rockthevote: http://bit.ly/ainwzM	1
1	Treating Climate Change as a Curable Disease http://viigo.im/3fSu	1
1	Global warming: Believe it - Vallejo Times-Herald: Your editorial on global warming ("Keeping the debate honest," ... http://bit.ly/9CueV7	1
1	See how CCX Member Motorola is working to be part of the solution in addressing the climate change challenge: http://bit.ly/aC6NgS	1
1	RT @manyko2: Bolivian President Blames Capitalism for Global Warming http://bit.ly/bcIloj //US policies threaten indigenous peoples #p2	0.5047
1	Interesting point re: why macro-probs like global warming are never solved: politicians need only solve immediate probs for re-election	0.5337
1	RT @MotherJones: Yet another gift from global warming: increased allergy attacks http://bit.ly/9o8F9y #p2	1
1	Global Climate Change Effects on the Mid-Continent (Download to view animations) http://slidesha.re/bRD3BW	1
1	Are you ready for climate change, if so let your lawmakers know, how tell them sign petitions, drop a hint :)	1
1	UMC Expands Climate Change Policy and Carbon Emission Reduction Goals http://goo.gl/fb/T7njr	0.643
0	RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://tinyurl.com/y7wvwvp #tcot	0.3563
1	Allergies Worse Than Ever? Blame Global Warming: Thanks to an unusually cold and snowy winter, followed by an earl... http://bit.ly/aJKsz3	1
1	Ridiculous: giving a climate change denier a nature show? Keep Sarah Palin off #Discovery: http://bit.ly/bmUK4w (via @CREDOmobile)	0.6257
1	Report: #Allergy Season to Get Worse with #Climate Change read from @time this really sucks for me: http://bit.ly/aDeS0r	1
1	CODA Automotive Lauded for Innovation and Technology Efforts to Combat Climate Change and Air Pollution http://goo.gl/fb/AQRum	1
0	Report Claims Climate Change Is To Blame For Increase Of Allergies http://bit.ly/dgT4CS	0.6984
1	Report Claims Climate Change Is To Blame For Increase Of Allergies http://bit.ly/bG1dIR	1
1	Tulips in mid-April in Chicago? Love the global warming. http://ow.ly/i/16qg	1
1	Global warming will make allergies worse for 25 million Americans, hitting those with asthma hardest: WWF (ClimateWire) #globalwarming	1
1	85 degrees in April eh? Hellooo global warming, nice to meet u	1
1	Rejoice, NY Times mentions crop wild relatives in article about adapting agriculture to climate change http://bit.ly/dmIB7F #agriculture	0.6705
1	U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://bit.ly/ddyxmX	1
1	U.S. Document Calls For •À_Global Regime•À_ To Tackle Climate Change http://bit.ly/c75hGf	0.6452
1	RT @highcountrynews RT @NPCA: Two more glaciers are gone from namesake nat. park due to global warming, USGS reports http://bit.ly/dpXXWW	1
1	RT @solveclimate: Feeling the Heat Down Under When it Comes to Climate Change: Erwin Jackson, The Climate Institute.. http://bit.ly/c1uWL4	0.7282
1	UK leads the way! RT @10cities Schumacher College: Mobilising Democracy to Tackle Climate Change http://post.ly/RsXv	1
1	EXCLUSIVE - Climate change could raise cost of U.S. allergies http://bit.ly/bQan2X	1
1	RT @EnergyBoom: Harvard and MIT Receive $2 Million to Study Health and Environmental Impacts of Climate Change http://bit.ly/cLhcxz	1
1	Sen. Kerry writing in The Hill today: U.S. Must Lead on Climate Change http://bit.ly/dCT9yb	0.689
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 1	1
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 2	1
1	EXCLUSIVE - Climate change could raise cost of U.S. allergies http://bit.ly/bQan2X	1
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 3	1
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 4	1
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 5	1
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 6	0.6617
1	RT @BluePractice: The clothing industry started global warming in the first place. - Yvon Chouinard, Patagonia #FortuneGreen	0.6378
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 7	1
1	Fight Climate Change From All Fronts: http://is.gd/biT49 #climatechange #SaveTerra 8	0.6844
1	Filmmaker Travels The Globe To Find People Fighting Climate Change ... http://bit.ly/bgM3w5	1
1	Filmmaker Travels The Globe To Find People Fighting Climate Change ...: Filmmaker Travels The Globe To Find People... http://bit.ly/bgM3w5	0.6557
1	Rejoice, NY Times mentions crop wild relatives in article about adapting agriculture to climate change http://bit.ly/dmIB7F #agriculture	0.6406
1	Effort to remake America's energy future and fight global warming could be harmed, or spurred, by Gulf #oilspill: http://bit.ly/dl4zuD	1
1	How would catastrophic climate change change the average persons life? Think 100% unemployment every where on the planet for several decades	1
1	Arctic Ice Loss Accelerating Global Warming: Research: TopNews New Zealand Global warming may be getting worse tha... http://bit.ly/cx7Jz2	1
0	#California taking the lead on #climate change: http://tinyurl.com/2dxp6ms #green	0.6879
1	Plants effective way of tackling global warming: Washington, Apr 30 (ANI): Plant leaves account for less than one ... http://bit.ly/9Ygtzk	1
1	Namibia: Govt to Get Active On Climate Change http://bit.ly/ct0bmF	1
1	Plants effective way of tackling global warming http://bit.ly/9dmNc3	0.672
0	Wait here's an idea: it's natural climate change, not human induced global warming. http://bit.ly/alsvDh	1
0	Just Read: US Generals say: Climate Change Threatens America's Security http://bit.ly/blOh67	0.6815
1	Glacial Melt From Global Warming Could Unplug Volcanos: Earthweek - A Diary of the Planet Eruptions of glacial vol... http://bit.ly/boNsiq	1
1	33 US Military Generals, Admirals: "Climate Change is Threatening ... http://bit.ly/bbFBhD	0.6694
1	Off shore drilling threatens wildlife and contributes to climate change.  Urge Obama NOT to expand drilling!  http://bit.ly/c2iwYa	1
1	AllGov - News - Global Warming Isn't All Bad•À_If You're an ...: In the frozen reaches of Canada, warmer temperature... http://bit.ly/9o0pxS	0.6928
1	Government Report Says Global Warming May Cause Cancer, Mental Illness: A new government report says global warmin... http://bit.ly/cmuSvn	1
1	Global warming picking up steam, Obama top science adviser says: John P. Holdren, Obama's top science adviser, dis... http://bit.ly/ckAKgF	0.6779
1	RT @TheClimateDesk: Lyme disease already costs &gt; $2.5 billion a year, and climate change could make it even pricier. http://bit.ly/bazHHY	1
1	Whale Excrement To Check Global Warming: TopNews United States New researcher carried out by the Australian Antarc... http://bit.ly/cA69Fc	0.649
1	Government Report Says Global Warming to Cause Cancer, Mental Illness: CNSNews.com By Matt Cover, Staff Writer (CN... http://bit.ly/cGDR9K	1
1	EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems http://bit.ly/c9RnR6	0.9298
1	Report: Save the Whales and They'll Save Us from Global Warming: Need more proof that Global Warming is the proble... http://bit.ly/dBKXCh	1
1	RT @fishmark: Wine grapes have become our best early-warning system for the effects of global warming. http://awe.sm/55QVf  via @Slate	0.6797
1	Wine grapes have become our best early-warning system for the effects of global warming. http://awe.sm/55QVf via @Slate	1
1	EPA Climate Change Indicators Report Shows the Evidence of Global Warming All Around Us http://bit.ly/96VuYB	0.6575
1	EPA Climate Change Indicators Report Shows the Evidence of Global Warming All ...: Natural Resources Defense Counc... http://bit.ly/abm7iZ	1
1	EXCLUSIVE - Climate change could raise cost of U.S. allergies http://url4.eu/2cQ8D	0.7041
1	Syed Husin wanted to know the effects of global warming to Malaysia. http://bit.ly/cG4TMa	0.6502
1	Cleaner Air Could Speed Global Warming http://bit.ly/d2xBrO	1
0	Whale Poo Fights Global Warming: By ROB MAYEDA and LORI PREUITT Star Trek IV: The Voyage Home had many convinced t... http://bit.ly/afv9hq	0.7791
1	EXCLUSIVE - Climate change could raise cost of U.S. allergies http://url4.eu/2cQ8W	1
1	New facts support global warming case: Recent letter-writer Charles Kesner is either out-of-touch with reliable ne... http://bit.ly/9AB5Sb	1
1	QUT researchers track climate change http://bit.ly/91EJHE	0.5865
1	Study: Climate Change Threatens Your Health, Too http://bit.ly/cbSUb5	1
1	RT @panteraonca07: Slideshow of Alaska Before the Effects of Global Warming http://bit.ly/d1szFE	1
1	In Vino Veritas The delicate wine grape has become our best early-warning system for the effects of global warming. http://bit.ly/9lUTkI	1
1	Conservation International:: Give a gift that helps prevent climate change, provides habitat for endangered specie... http://bit.ly/dcuSyT	1
1	Conservation International:: Give a gift that helps prevent climate change, provides habitat for endangered specie... http://bit.ly/dcuSyT	1
1	Climate change is real and climate change has consequences for all of us. http://bit.ly/8XLIpP	1
1	Global Warming Contributes To Rapidly Increased Ocean Acidification: The US National Research Council warned last ... http://bit.ly/bUwIcJ	1
1	Global warming threatens Ca Mau Province: CA MAU •À_ The southernmost province of Ca Mau was among localities most v... http://bit.ly/b26Twc	0.6621
1	Global warming means local storming http://bit.ly/d5mwF6	0.7158
1	Could Cleaner Air Actually Intensify Global Warming?: by NPR Staff As much of the world marked Earth Day this past w... http://n.pr/ahDB11	0.716
1	Renewable Energy Advances •À_ Ocean Saltiness Shows Global Warming ...: After pulling data from 1.6 million salinity... http://bit.ly/c1fL3g	1
1	The Key to Fixing Global Warming China | Magazine: It's late November 2009, and US energy secretary Steven Chu is ... http://bit.ly/aMtvEN	0.6358
1	Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... http://bit.ly/cdflgK	0.9324
1	Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... http://bit.ly/aUXnxh	1
1	Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. http://oohja.com/xaMXU	0.8824
1	Africa: Monitoring a Changing Climate: The gathering environmental crisis presented by global warming... http://tinyurl.com/y252cn2 #Africa	1
0	The volcanic ash was bad for planes...but should help reduce global warming.  http://bit.ly/9RRKdQ	0.6748
0	Ocean currents still strong despite global warming|Researchers at NASA have discovered that the ocean currents .. http://oohja.com/xaMox	0.6729
1	Ocean currents still strong despite global warming|Researchers at NASA have discovered that the ocean currents .. http://oohja.com/xaMjc	1
1	Long-distance journeys out of fashion? Global warming may be causing evolutionary changes in bird migration (sourc... http://bit.ly/9mHr4G	1
1	Funniest 'conservative' comment of the day: "Climate change is due to increased heat from the Earth's core."	0.6788
1	Scientists Say Global Warming Affects Marine Life: In Narragansett Bay, Rhode Island, winter flounder no longer re... http://bit.ly/cm6zar	0.6495
1	Redding architect Theimer: Global warming doubters "stupid": James Theimer, known locally for his environmentally ... http://bit.ly/9jKBvt	1
1	Indonesia Tree Program Looks to Reduce Global Warming: Planting trees is one way to help maintain the natural pres... http://bit.ly/aJ6Nck	0.6881
1	Earth Day report: climate change is endangering our health: http://ping.fm/gJLKg	1
1	Global Climate Change, Not Global Warming @ http://aclnk.com/ar2872954	0.622
1	#CUBeyond: Wlliam Lau says climate change is happening and we must deal with it, no matter what is causing it.  #ChapmanU	1
1	Chew's focus is on the ways global warming is causing the redistribution of plant and animal species. http://bit.ly/blUs7S	0.6982
0	Military Leads Fight Against Climate Change: Pew http://bit.ly/9kNEi8	0.6609
1	Royal Society Stunner: Hazardous geosphere activity and global warming linked: Periods of exceptional climate chan... http://bit.ly/cUtIiv	1
1	Fighting poverty and global warming in Africa: by Marc Gunther on 04/21/2010 22:10 0 comments , 0 views Rarely do ... http://bit.ly/9NIVtq	1
1	"Military leads fight against climate change: Pew | Reuters" http://j.mp/9BCWf7  #cleantech #greentech	1
1	Spring Comes 10 Days Earlier In U.S. Due To Climate Change: http://huffingtonpost.com/2010/04/21/spring-comes-10-days-earl_n_545790.html	1
1	NASA Launches Climate Change Supercomputer: http://huffingtonpost.com/2010/04/21/nasa-launches-climate-cha_n_546174.html	0.511
1	@drgrist's excellent take on why even environmental economics limits our climate change policy options http://bit.ly/cK5R26 #climate #agw	1
1	The Key to Fixing Global Warming? China http://ow.ly/178nxi	0.6535
1	@ClimateWise2 is here tonight at 7:30 to discuss what climate change is doing to women, children, families & communities http://ow.ly/1Btrl	1
1	Baby boomers must tackle global warming while they can: By Anonymous Baby boomers have enjoyed peace and the large... http://bit.ly/bw322k	1
1	#Ocean Saltiness Shows #Global Warming Is Intensifying Our Water Cycle : TreeHugger http://bit.ly/9iuMYS	0.6822
1	Daniel C. Esty: Climate Change Plan B: Bringing down greenhouse gas emissions with a "cap and trade" system of tr... http://huff.to/d2RUP1	1
1	Military leads fight against climate change: Pew: WASHINGTON (Reuters) - The U.S. military, the government's large... http://bit.ly/ctNt3e	0.7072
1	Global warming implicated in shortened bird migration | Science Codex: Global warming implicated in shortened bird... http://bit.ly/9xfGO8	1
1	NASA•À_s Gift to Earth: A Climate Change Supercomputer http://bit.ly/at5YdW	0.6283
1	Daniel C. Esty: Climate Change Plan B: Bringing down greenhouse gas emissions with a "cap and trade" system of tr... http://huff.to/cAbv99	0.7113
1	UW biologist links early blooms to global warming http://bit.ly/aBLMsi	1
1	UW biologist links early blooms to global warming: A researcher says plants in central Wisconsin are flowering ear... http://bit.ly/cs1aju	1
1	Bolivian President Blames Capitalism for Global Warming: Environment News Service COCHABAMBA, Bolivia, April 20, 2... http://bit.ly/9bcYzS	0.6917
1	URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change: Global Geopolitics Net Sites / IPS In•__s Acosta... http://bit.ly/alYhq4	1
1	An Explosive Idea: are volcanoes the cure for global warming? http://bit.ly/8ZpofC	1
1	RT @WGofNYC Leader of National Indigenous Women's Org, "Climate Change is Not Just abt the Climate, its abt R Lives" bit.ly/9GdzRw	0.8838
1	See where @climate change is happening RT @ClimateCentral 8-part series on cities and climate change for BBC Worldnews: http://ow.ly/1AXou	0.6629
1	Carbon offsets: How a Vatican forest failed to reduce global warming: Christian Science Monitor From a scheme to c... http://bit.ly/adexIe	0.6856
1	Buying carbon offsets may ease eco-guilt but not global warming http://bit.ly/conBCO	1
1	Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change  - http://awarela.org/?p=10280	1
1	Icelandic Volcano's Impact on Global Warming, Green Transportation, Bird ...: By Alisa Opar NASA satellites captur... http://bit.ly/drEnq0	1
1	Birds in southern England suffer from global warming http://bit.ly/aPezr3	1
0	Video: Getting Focus Back on Climate Change http://bit.ly/doUp0V	0.6513
1	Volcanic ash cloud: Global warming may trigger more volcanoes http://bit.ly/byFZLx	1
0	Global warming blamed for European air traffic collapse: The FINANCIAL -- Global warming, which altered European w... http://bit.ly/aJ73eo	0.7036
1	Republicans, why do you oppose global warming environmental ...: Really it makes no sense to oppose efforts to red... http://bit.ly/d1ESuz	1
1	Safe, secure nuclear energy must be part of climate change solution http://bit.ly/a8xqgM	1
1	Global Warming•À_s Eyjafjoell Volcano Triggers More Global Warming: http://ping.fm/i2ppK	0.6314
1	STATE DEPT. DECLARES: 'Global warming unequivocal and primarily human-induced'... http://ow.ly/1774mS	1
1	5th US Climate Action Report Released: "Global Warming is Unequivocal" http://viigo.im/3dpt	0.7158
1	Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions... http://viigo.im/3dpo	0.6762
1	Photo: We dare someone tell us that climate change isn't real. http://tumblr.com/x5x8kszx2 #green #eco #greens	1
0	5th US Climate Action Report Released: "Global Warming is Unequivocal": Treehugger by Brian Merchant, Brooklyn, Ne... http://bit.ly/bnzk6I	0.6373
1	Since Man can't, Mother Nature to end global warming with volcanoes & earthquakes. #Hekla #Icelandic	1
1	Blame the volcano trouble on sun and global warming http://bit.ly/aVwFKq #science	1
1	Some hot health reminders on global warming: The debate is over; nearly all scientists (and politicians) agree tha... http://bit.ly/dlVeXS	0.6487
0	Since Man can't, Mother Earth to end global warming with volcanoes & earthquakes. #ashtag #Hekla #Icelandic	0.6565
1	RT @kate_sheppard: Joe Romm (@climateprogress): "Climate change is a BFD, if I can quote Joe Biden."	0.7292
1	Reinvent Cities to Stop Climate Change | Green Living Ideas  http://bit.ly/cpFCze #cities #climate #eco	1
1	"All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers : CleanTechnica" http://j.mp/ars7W2 #cleantech #greentech #MLB	1
1	CST: A Lack Of Air Pollution Is Bad For Global Warming? •À_ Pirate's ... http://bit.ly/aW42qa	0.6505
1	RT@greenforyou An estimated 20 billion birds changed their migrating habits in last few decades due to global warming http://bit.ly/cRfauy	1
1	Global warming melts ice and this can influence magmatic systems," he told Reuters. http://bit.ly/9aCQ41	1
1	@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun	0.7307
